name,content,问题类型,解决方案
界面,未知,打开,解决方案1：本地安全策略限制了80、8080、443几个端口导致的，放开后问题解决。解决方案2:即插即用http报错，开启http服务后问题解决。
界面,未知,登录,即插即用的账号在U2000侧设置的最多只有一个用户登录，因为该账号已经在线了，所以即插即用侧就无法再次登录了，改成可以同时登录多个账号后就好了。
网元别名,未知,查看,主拓扑中网元没有别名，所以看不到，添加后再同步即可看到。
端口号码,端口号码:U2000 即插即用使用的端口号是8080和443。,查看,未知
用户名密码,用户名密码登录密码与U2000侧同步一样,修改,通过修改脚本，创建新的用户，使用新用户修改老用户密码的方式解决。
模板,未知,合并,V200R017版本才支持模板合并，当前版本无法直接合并，可以已插入的方式将脚本添加到目标模板中
网元数量,未知,修改,数据库满导致，协助删除历史数据后正常
网元密码,未知,修改,解决方案1：U2000 即插即用中网元的登录密码是从U2000侧同步过来的，在U2000侧修改telnet/stelnet密码后在即插即用侧同步即可。解决方案2：建议在路由器DCN管理中将网关网元移除，网管就不会自动连接到设备并修改
网元密码,未知,忘记,通过下发基础配置中的账号可以登录设备，不影响使用，如果一定要想获知即插即用里面root账号初始密码，在通过客户授权后通过相应的手段来获取。
配置,未知,下发,1.检查下发参数配置是否错误。2.经过确认，U2000暂时不支持防护墙的即插即用功能，可以使用脚本或是登录设备配置。
脚本,未知,导入,确认为导入的表格问题导致。
并发设备数,最大200,设置,可以通过修改oss\\server\\etc\\oss_cfg\\ip\\gcli\\conf\\specificationconf.properties中的参数值，最大200台
链路规划表,未知,导入,1.重启gcli进程后正常 2.V200R015C50CP2016之前版本存在已知问题，在/opt/oss目录内存中保存北向文件，升级版本后还需要清除文件，清除后问题解决。
地址池,未知,解决,可以在链路规划中增加地址池及地址。
网元图标,未知,查看,没有license导致的，非U2000 故障。
PTN设备,未知,宽限期超期,当前看网管上部分license授权项超期，请申请license更新
网管配置,未知,授权过期,查看网管license控制项达到上限，需要重新申请license。
业务授权,未知,关闭,登陆系统维护工具中打开业务授权开关设置
速率单位,速率单位北向接口采集到的流入流出性能速率的单位是bit/s,修改,未知
接口,未知,下发,经过确认为性能实例的license资源不足导致，建议申请。
配置数量,配置数量网管最大允许规格10w条,超出,查询现网U2000网管部署行实例总数超过网管最大允许规格10w条，删除部分不需要监视业务、端口性能实例后重新部署成功，问题解决
性能监控,未知,查看,主菜单中选择“性能 > 性能监控管理”，选择资源类型，选择监控实例，单击右键，选择“查看历史数据”。
性能监控,未知,导出,选中查看到的性能监控数据，右上角点击保存即可，或者点击保存所有将显示的所有数据保存下来。
离散,未知,删除,需要先删除隧道策略再删除tunnel
界面,未知1,创建,U2000网管业务菜单下选择Tunnel-》创建Tunnel，输入业务名称、保护类型等参数，分别双击源宿网元，一般会自动计算路由，直接点击确定后下发配置即可。
保护组,未知,查看,在单站MPLS管理里面可以找到Tunnel所属的APS保护组ID
保护环,未知,删除,同一个网元其他环与待删除环的相交点也需要删除，之后环网删除成功
